,wine,rating,price
106,Pratsch Rosé 2019,4.1,12.99
121,Austerity Pinot Noir 2017,3.5,12.99
122,Quinta de Chocapalha Castelão 2016,3.7,12.99
123,Pratsch Grüner Veltliner 2019,3.6,12.99
124,Babich Sauvignon Blanc 2019,3.9,12.99
114,Giocato Pinot Grigio 2018,3.8,12.99
120,Lapis Luna Sauvignon Blanc 2019,3.6,12.99
113,Domaine Vetriccie Île de Beauté Blanc 2019,3.7,12.99
104,Orchard Lane Sauvignon Blanc 2019,4.1,12.99
111,Parducci Small Lot Blend Petite Sirah 2018,3.6,12.99
110,Ken Forrester Petit Pinotage 2019,3.6,12.99
109,McGuigan The Plan Shiraz 2016,3.8,12.99
108,Old Soul Petite Sirah 2018,3.7,12.99
107,Il Casato Pinot Grigio Valdadige 2019,4.0,12.99
105,Los Vascos Sauvignon Blanc 2019,3.5,12.99
112,Olivares Altos de la Hoya Monastrell 2017,3.8,12.99
103,Root 1 Sauvignon Blanc 2016,3.5,12.99
102,Domaine des Nouelles Rosé d'Anjou 2019,3.5,12.99
101,Barkan Classic Sauvignon Blanc 2018,3.7,12.99
100,Los Vascos Chardonnay 2017,3.6,12.99
126,Beringer Beringer Bros. Bourbon Barrel Aged Cabernet Sauvignon 2018,3.9,13.47
125,Château des Aladeres Sélection Vieilles Vignes 2015,3.9,13.47
127,Girl & Dragon Malbec 2019,3.6,13.49
128,The White Knight Viognier 2018,3.5,13.49
129,Etude Rosé 2018,3.8,13.5
130,The Pinot Project Pinot Noir 2018,3.6,13.5
131,Plungerhead Old Vine Zinfandel 2018,3.8,13.75
132,Zuccardi Serie A Malbec 2018,3.8,13.833333333333334
133,Dancing Crow Vineyards Sauvignon Blanc 2015,3.7,13.841666666666667
134,J. Lohr Estates Falcon's Perch Pinot Noir 2018,3.6,13.89
135,Sierra Cantabria Selección 2017,3.7,13.9
136,Verso Salento Rosso 2018,3.9,13.93
146,Tormaresca Negroamaro Salento Calafuria Rosato 2019,4.0,13.95
147,Cantina Zaccagnini Pinot Grigio (Tralcetto) 2019,4.0,13.95
145,Catena Chardonnay 2015,3.7,13.95
149,Antigal UNO Malbec 2017,3.8,13.95
148,Allan Scott Sauvignon Blanc 2020,3.8,13.95
143,Edna Valley Vineyard Cabernet Sauvignon 2018,3.6,13.95
144,Esser Chardonnay 2013,3.5,13.95
141,Barker's Marque ranga.ranga Sauvignon Blanc 2019,3.8,13.95
140,Layer Cake Pinot Noir 2018,3.4,13.95
139,Estancia Mendoza Kadabra Cabernet Sauvignon 2018,3.4,13.95
138,Cannonball Chardonnay 2018,3.7,13.95
137,Shannon Ridge Wrangler Red (High Elevation) 2017,3.7,13.95
142,La Crema Monterey Chardonnay 2018,3.7,13.95
172,Thrive Pinot Grigio 2018,3.5,13.99
164,Alexander Valley Vineyards Temptation Zinfandel 2016,3.7,13.99
166,Barkan Classic Sauvignon Blanc 2019,3.5,13.99
167,Outer Sounds Sauvignon Blanc 2019,4.1,13.99
168,Masseria Altemura Sasseo Primitivo Salento 2018,3.8,13.99
171,Tomàs Cusiné Llebre 2018,3.7,13.99
170,Rascal Pinot Noir 2019,3.2,13.99
163,Yalumba The Y Series Viognier 2018,3.5,13.99
173,Kenwood Cabernet Sauvignon 2016,3.8,13.99
174,Pulenta Estate La Flor Malbec Rosé 2018,3.7,13.99
169,Korta Barrel Selection Reserve Petit Verdot 2017,4.0,13.99
162,Domaine Bousquet Unoaked Chardonnay 2020,3.8,13.99
165,Banfi Centine Rosso 2017,3.7,13.99
160,Angeline Reserve Chardonnay 2017,3.5,13.99
161,Château Subilaux Blaye Côtes de Bordeaux 2016,3.4,13.99
151,Robert Hall Merlot 2016,3.6,13.99
152,Cigar Box Old Vine Pinot Noir 2015,3.6,13.99
153,Domaine Bousquet Cabernet Sauvignon 2019,3.7,13.99
154,Shoofly Shiraz 2017,3.5,13.99
150,La Linda Unoaked Chardonnay 2017,3.7,13.99
156,Carmel Road Monterey Pinot Noir 2018,3.8,13.99
157,Provam Portal do Fidalgo Alvarinho 2017,3.9,13.99
158,Cuatro Rayas 4R Cuatro Rayas Verdejo 2019,3.9,13.99
159,Cline Zinfandel 2016,3.6,13.99
155,Cannonball Merlot 2017,3.7,13.99
927,Brotte Tavel Les Eglantiers Rosè 2015,3.9,14.95
926,Argyros Atlantis Rosé 2017,3.9,14.95
925,Mohua Sauvignon Blanc 2019,4.1,14.95
1900,JaM Cellars California Butter Chardonnay 2019,3.8,14.95
1901,Crios Torrontes 2018,3.8,14.95
1903,Brotte Tavel Les Eglantiers Rosè 2015,3.9,14.95
1904,Marques del Atrio Reserva 2015,3.8,14.95
